shop,shop_url,website,category
Carzdeluxe,https://www.etsy.com/shop/Carzdeluxe,,car related
RevolutionEngLLC,https://www.etsy.com/shop/RevolutionEngLLC,,car related
3DPrintsParts,https://www.etsy.com/shop/3DPrintsParts,,car
BSULDesign,https://www.etsy.com/shop/BSULDesign,,car
3DTacticalDesigns,https://www.etsy.com/shop/3DTacticalDesigns,,
MontanaAngleWorx,https://www.etsy.com/shop/MontanaAngleWorx,,
Mrs3DPrint,https://www.etsy.com/shop/Mrs3DPrint,,
3dtailwaggers,https://www.etsy.com/shop/3dtailwaggers,,
Print4Fun3D,https://www.etsy.com/shop/Print4Fun3D,,
RickedCustoms,https://www.etsy.com/shop/RickedCustoms,,
MakeMoreFish,https://www.etsy.com/shop/MakeMoreFish,,aquarium
NetworkBuck,https://www.etsy.com/shop/NetworkBuck,,computer parts
ZephyrsMarket,https://www.etsy.com/shop/ZephyrsMarket,,
Print3DSteve,https://www.etsy.com/shop/Print3DSteve,,computer parts
PrintShapeSweden,https://www.etsy.com/shop/PrintShapeSweden,,computer and mounts
CalculatedMFG,https://www.etsy.com/shop/CalculatedMFG,,
WallBracketNerd,https://www.etsy.com/shop/WallBracketNerd,,computer mounts
3DHotShop,https://www.etsy.com/shop/3DHotShop,,toys
GGArthouseStudio,https://www.etsy.com/shop/GGArthouseStudio,,lamps and art
wonderland3dprinting,https://www.etsy.com/shop/wonderland3dprinting,,toys
AnimalsAttitude,https://www.etsy.com/shop/AnimalsAttitude,,toy statues
DuckSpecialist,https://www.etsy.com/shop/DuckSpecialist,,ducks
